german,bengali
ist,হয়
ich,আমি
nicht,না
Sie,সে
du,আপনি
das,দ্য
die,দ্য
es,এটা
und,এবং
der,দ্য
zu,প্রতি
Das,দ্য
ein,একটি
in,ভিতরে
wir,আমরা
Du,আপনি
mir,আমাকে
mit,সঙ্গে
Was,কি
den,দ্য
mich,আমাকে
was,কি
auf,চালু
dass,যে
er,তিনি
eine,একটি
Es,এটা
hat,আছে
Wir,আমরা
Und,এবং
so,সুতরাং
sind,হয়
von,এর
dich,আপনি
war,ছিল
haben,আছে
für,জন্য
Ja,হ্যাঁ
hier,এখানে
an,এ
habe,আছে
Er,তিনি
bin,টা
wie,যেমন
noch,এখনো
dir,তোমাকে
uns,আমাদের
sich,নিজেদের
Die,দ্য
nur,মাত্র
einen,এক
Nein,না
dem,দ্য
ihn,তার
auch,এছাড়াও
hast,আছে
sein,থাকা
ihr,তার
da,সেখানে
aus,আউট
kann,করতে পারা
aber,কিন্তু
Aber,কিন্তু
schon,সুন্দর
wenn,যদি
wird,হয়ে
um,কাছাকাছি
Wie,যেমন
als,কখন
bist,হয়
im,মধ্যে
mal,বার
doch,কিন্তু
gut,আমরা হব
meine,আমার
jetzt,এখন
weiß,সাদা
Wenn,যদি
werden,ইচ্ছাশক্তি
Der,দ্য
nach,পরে
ja,হ্যাঁ
Oh,উহু
oder,অথবা
dann,তারপর
will,প্রয়োজন
mein,আমার
mehr,অধিক
keine,না
etwas,কিছু
alles,সব
muss,করতে হবে
immer,সর্বদা
nichts,কিছু না
man,আপনি
wieder,আবার
bei,এ
hab,HAB
machen,করা
vor,সামনে
Mann,মানুষ
ihm,তার
einem,এক
tun,করতে
zum,থেকে
können,করতে পারা
sagen,বলে
werde,ইচ্ছাশক্তি
denn,কারণ
Ist,হয়
Ein,একজন
Warum,কেন
einer,এক
sehen,দেখা
sehr,খুব
geht,চালু
alle,সব
über,সম্পর্কিত
müssen,করতে হবে
einfach,সহজ
euch,তোমাকে
des,এর
nie,না
Also,সুতরাং
Wo,কোথায়
los,চলে আসো
Zeit,সময়
Ihnen,তাহাদিগকে
gibt,দেয়
wirklich,সত্যি
Hey,অঁ্যা
Danke,ধন্যবাদ
deine,আপনার
würde,হায়
soll,উচিত
Da,সেখানে
hatte,যদি থাকত
Hier,এখানে
wissen,জ্ঞান
bitte,আপনাকে স্বাগতম
viel,অনেকটা
Dann,তারপর
So,সুতরাং
gesagt,বলা
Ihr,তোমার
am,এ
kein,না
Komm,জয়ী হত্তয়া
Wer,WHO
zurück,পেছনে
wurde,হয়েছে
In,ভিতরে
wollte,চেয়েছিলেন
Frau,নারী
Leben,জীবন
wäre,হায়
wo,কোথায়
damit,করার জন্য
Nicht,না
Gott,সৃষ্টিকর্তা
Leute,সম্প্রদায়
kannst,করতে পারা
heute,আজ
meinen,গড়
dieser,এই
dein,তোমার
kommt,আসছে
kommen,আসা
willst,প্রয়োজন
Na,এন / এ
wollen,প্রয়োজন
sicher,নিশ্চিত
ganz,সব
Jetzt,এখন
Mein,আমার
Mr,জনাব
also,সুতরাং
zur,প্রতি
Hast,আছে
Gut,আমরা হব
hätte,যদি থাকত
weil,কারণ
tut,না
Hallo,হাই
Okay,ঠিক আছে
macht,ক্ষমতা
waren,ছিল
bis,প্রতি
Vielleicht,হতে পারে
könnte,পারা
Eine,একজন
weg,পথ
seine,তার
lassen,যাক
Vater,পিতা
gesehen,দেখা
Nun,এখন
gerade,সোজা
Alles,সব
glaube,বিশ্বাস
Tag,দিন
ab,থেকে
Geld,টাকা
gemacht,প্রণীত
nein,না
Sir,জনাব
sollte,উচিত
sagte,বললেন
keinen,না
durch,দ্বারা
diesen,এই
passiert,এরকম
wohl,আমরা হব
ihre,তোমার
Mutter,মা
reden,আলাপ
anderen,অন্যান্য
dachte,চিন্তার
daß,যে
möchte,চাই
wirst,ইচ্ছাশক্তি
gehört,জন্যে
weißt,জানা
Keine,না
raus,আউট
Meine,আমার
paar,যুগল
besser,উত্তম
ob,যদি
her,এখানে
musst,অবশ্যই
Ordnung,ক্রম
meiner,খনি
klar,পরিষ্কার
ihnen,তাহাদিগকে
Los,চলে আসো
diesem,এই
meinem,আমার
lange,দীর্ঘ
Lass,দিন
dieses,এই
helfen,সাহায্যের
unsere,আমাদের
Weg,পথ
selbst,এমন কি
Nur,মাত্র
finden,অনুসন্ধান
Mal,টাইমস
jemand,কেউ
denke,মনে
Ach,উহু
Nacht,রাত
genau,আমি রাজী
gar,এ সব
sagt,বলেছেন
Welt,বিশ্ব
Auf,চালু
Mädchen,মেয়ে
ins,মধ্যে
hin,নিচে
vom,থেকে
schön,সুন্দর
warum,কেন
weiter,অবিরত
Leid,দুর্ভোগ
gleich,সমান
wer,WHO
Man,আপনি
ohne,বিনা
Menschen,সম্প্রদায়
deinen,তোমার
leid,দুর্ভোগ
Wieso,তা কেমন করে
dort,সেখানে
Als,কখন
Hause,বাড়ি
sollten,উচিত
davon,যে থেকে
zusammen,একসঙ্গে
geben,দিতে
Ok,ঠিক আছে
Hör,শোনা
machst,করছেন
Freund,বন্ধু
richtig,ঠিক
Angst,উদ্বেগ
Bist,হয়
Tut,না
Mit,সঙ্গে
viele,প্রচুর
sieht,সৌন্দর্য
Haus,গৃহ
tot,মৃত
sollen,উচিত
ganze,গোটা
andere,অন্যান্য
getan,সম্পন্ন
okay,ঠিক আছে
rein,বিশুদ্ধরূপে
Diese,এইগুলো
Moment,মুহূর্ত
bleiben,থাকা
brauchen,প্রয়োজন
Weil,কারণ
Kinder,শিশু
unter,অধীনে
Arbeit,কাজ
Für,জন্য
Problem,সমস্যা
dafür,এই জন্য
Herr,জনাব
Haben,আছে
wegen,কারণে
geht's,এটা
liebe,ভালবাসা
genug,যথেষ্ট
dabei,সেখানে
bringen,আনা
Ihre,তোমার
ne,NE
gegen,বনাম
Weißt,জানা
Sag,বলে
schnell,দ্রুত
nun,এখন
eines,এক
brauche,প্রয়োজন
hatten,ছিল
Jahre,বছর
Mach,মাপক
Bruder,ভাই
Sache,জিনিস
hören,শোনা
komm,জয়ী হত্তয়া
Sohn,পুত্র
seit,থেকে
Morgen,আগামীকাল
steht,ঘোরা
Scheiße,বিষ্ঠা
mag,মত
sei,থাকা
unser,আমাদের
konnte,পারা
habt,আছে
Oder,অথবা
einmal,একদা
heißt,বলা হয়
OK,ঠিক আছে
Willst,প্রয়োজন
Kopf,মাথা
Hilfe,সাহায্য
Familie,পরিবার
Geh,যাওয়া
Baby,শিশু
Dich,আপনি
Sind,হয়
erst,প্রথম
fertig,সমাপ্ত
gefunden,পাওয়া
seid,হয়
kam,এল
nehmen,নিতে
morgen,আগামীকাল
sprechen,কথা বলা
Mir,আমাকে
sofort,তত্ক্ষণাৎ
Kann,করতে পারা
Hat,আছে
Jahren,বছর
Kind,শিশু
seinen,তার
Genau,আমি রাজী
daran,এটা
Junge,ছেলে
Minuten,মিনিট
bevor,আগে
Stadt,শহর
beim,এ
sterben,মরতে
warst,ছিল
Recht,আইন
glauben,বিশ্বাস করা
darüber,যে সম্পর্কে
deiner,আপনার
deinem,তোমার
Ende,শেষ
He,তিনি
Dinge,কিছু
Namen,নাম
wahr,সত্য
Alle,সব
allein,একা
Natürlich,স্বাভাবিকভাবে
töten,হত্যা
Nichts,কিছু না
Wirklich,সত্যি
bekommen,পেতে
Männer,পুরুষদের
vergessen,ভুলতে
Doch,কিন্তু
dazu,প্রতি
gab,দিলেন
später,পরে
wusste,জানতাম
Augen,চোখ
Dank,ধন্যবাদ
Freunde,বন্ধুদের
Jungs,বলছি
halten,রাখা
warten,ওয়েটিং
Glück,সুখ
beide,উভয়
gute,গুণ
Dein,তোমার
kennen,জানা
Deine,আপনার
n,এন
Hi,ওহে
Dr,ডাঃ
Auto,মোটরগাড়ি
sage,কিংবদন্তি
gehe,যাওয়া
komme,পাওয়া
Dir,তোমাকে
mache,করতে
Von,এর
Uhr,ঘড়ি
sehe,দেখা
Teufel,শয়তান
sonst,অন্যভাবে
Art,সদয়
gern,সানন্দে
Liebe,ভালবাসা
jeden,প্রতি
könnten,পারা
ihren,তাদের
Halt,স্টপ
Fall,কেস
Dad,বাবা
Film,সিনেমা
bisschen,সামান্য
eigentlich,প্রকৃতপক্ষে
weit,এ পর্যন্ত
mach,মাপক
Gib,দিন
vorbei,গত
verstehe,বোঝা
danke,ধন্যবাদ
drin,এটা
Im,মধ্যে
Name,পদবি
ganzen,সব
Musik,সঙ্গীত
würden,হায়
Tür,দরজা
verrückt,উন্মাদ
solltest,উচিত
denken,মনে
Noch,এখনো
dran,টিউন
Sieh,লুক
lieber,বরং
Den,দ্য
leben,জীবন
Guten,ভাল
Um,কাছাকাছি
darauf,উহার উপরে
Kein,না
